raceId,driverId,grid,finish,statusId,dnf,num_stops,first_stop_lap,avg_stop_time,total_stop_time,year,position_improved,position_change
850,812,20,20,14,1,3.0,10.0,25.556,76.668,2011,0,0
850,24,23,21,10,1,1.0,20.0,22.048,22.048,2011,1,2
850,18,7,22,9,1,1.0,24.0,20.952,20.952,2011,0,-15
851,18,3,1,1,0,3.0,11.0,20.965666666666667,62.897000000000006,2011,1,2
851,20,1,2,1,0,3.0,12.0,20.32166666666667,60.965,2011,0,-1
851,4,5,3,1,0,4.0,12.0,21.539,86.156,2011,1,2
851,1,2,4,1,0,6.0,12.0,19.866666666666667,119.2,2011,0,-2
851,17,6,5,1,0,5.0,10.0,20.672800000000002,103.364,2011,1,1
851,13,4,6,1,0,4.0,10.0,21.76025,87.041,2011,0,-2
851,814,11,7,11,1,3.0,11.0,21.332666666666665,63.998,2011,1,4
851,67,23,8,11,1,3.0,12.0,21.389666666666667,64.169,2011,1,15
851,3,7,9,11,1,4.0,12.0,21.12825,84.513,2011,0,-2
851,153,16,10,11,1,3.0,13.0,22.543666666666667,67.631,2011,1,6
851,155,13,11,11,1,3.0,12.0,22.611666666666668,67.83500000000001,2011,1,2
851,808,12,12,11,1,4.0,10.0,23.172,92.688,2011,0,0
851,22,15,13,12,1,5.0,10.0,24.514400000000002,122.572,2011,1,2
851,16,8,14,12,1,4.0,12.0,21.447499999999998,85.78999999999999,2011,0,-6
851,815,10,15,12,1,4.0,12.0,19.22575,76.903,2011,0,-5
851,813,17,16,12,1,5.0,11.0,20.77,103.85,2011,1,1
851,10,20,17,14,1,3.0,11.0,21.254666666666665,63.763999999999996,2011,1,3
851,817,22,18,14,1,3.0,13.0,22.685999999999996,68.05799999999999,2011,1,4
851,816,24,19,15,1,4.0,11.0,29.643,118.572,2011,1,5
851,24,21,20,15,1,5.0,12.0,23.8882,119.441,2011,1,1
851,5,18,21,47,1,5.0,12.0,21.9976,109.988,2011,0,-3
851,30,9,22,6,1,2.0,13.0,21.009500000000003,42.019000000000005,2011,0,-13
851,2,14,23,42,1,2.0,11.0,23.4025,46.805,2011,0,-9
851,15,19,24,44,1,1.0,13.0,23.118,23.118,2011,0,-5
852,20,1,1,1,0,3.0,5.0,21.031666666666666,63.095,2011,0,0
852,17,3,2,1,0,2.0,3.0,20.981,41.962,2011,1,1
852,18,13,3,1,0,3.0,3.0,23.147333333333336,69.44200000000001,2011,1,10
852,4,8,4,1,0,2.0,8.0,21.118499999999997,42.236999999999995,2011,1,4
